层门数,召回,停电自动平层保护装置,使用年限,使用频率,机房有降温设施,地坑潮湿,管理人员,故障率,量化考核,投诉,困人次数,主机,控制柜,安全保护装置,门锁,其它,高,中,低
6,0,1,12,46.5,1,0,1,9,80,0,0,0,0,0,0,0,0,1,0
6,0,1,12,76.3,1,0,1,9,80,0,1,0,0,0,0,1,1,0,0
9,0,1,12,66.4,1,0,1,8,80,0,1,0,0,1,0,0,1,0,0
24,0,1,12,70.5,1,0,1,8,80,0,0,0,0,0,0,0,0,1,0
16,0,0,3,26.7,1,0,1,6,70,1,1,1,0,0,0,0,1,0,0
12,0,0,4,0.7,0,1,0,0,90,0,0,0,1,0,0,1,0,0,1
12,0,0,4,19.7,0,1,0,3,90,0,0,1,0,1,0,0,0,1,0
22,0,0,8,3.7,0,1,0,2,60,1,1,0,0,1,0,0,1,0,0
18,0,0,8,1.1,0,0,0,3,80,0,0,0,0,0,1,1,0,1,0
18,0,0,8,8.5,0,0,0,7,80,0,0,0,0,0,1,1,0,1,0
14,0,0,8,7.9,0,0,1,9,80,1,1,0,0,1,0,0,0,1,0
9,0,0,8,30.4,0,0,1,8,70,0,1,1,0,0,0,0,1,0,0
14,0,0,7,13.8,1,1,1,7,80,0,0,0,0,0,0,1,0,1,0
19,1,0,7,22.2,1,1,1,2,80,0,0,0,0,0,0,1,0,1,0
12,0,0,7,27.2,0,1,1,3,90,0,0,0,0,0,1,0,0,0,1
12,0,0,7,0.2,0,1,1,0,90,0,0,0,0,0,0,1,0,0,1
12,0,0,7,12.4,0,1,1,1,90,0,0,1,0,0,0,1,0,0,1
11,0,0,7,15.5,0,1,1,2,90,0,0,1,0,0,0,1,0,0,1
11,1,0,7,14.4,0,0,0,4,60,1,1,0,0,1,1,0,1,0,0
12,0,0,7,23.1,0,0,0,5,90,0,0,0,0,0,1,0,0,0,1
12,0,0,7,21.9,0,0,0,4,90,0,0,0,0,0,0,1,0,0,1
12,0,0,7,10.2,0,0,0,2,90,0,0,0,0,1,0,0,0,0,1
12,0,0,7,5.6,0,0,0,1,90,0,0,0,0,1,1,1,0,0,1
9,0,0,7,7.7,0,1,1,1,90,0,0,0,1,0,0,1,0,0,1
10,0,0,7,14.3,1,1,1,6,80,0,0,0,1,0,0,1,0,1,0
25,0,0,7,50.2,1,0,1,5,70,1,1,0,0,1,0,1,1,0,0
25,1,0,7,46.4,1,0,1,3,70,0,0,0,0,1,0,1,1,0,0
14,0,0,7,1.7,1,0,1,0,70,0,0,0,0,1,0,1,0,0,1
14,0,0,7,30.1,1,0,1,2,70,0,0,0,0,1,0,1,0,1,0
14,0,0,7,9.6,1,0,1,1,70,0,0,0,0,1,0,1,0,0,1
14,0,0,7,41.4,1,0,1,7,70,1,1,0,0,1,0,1,1,0,0
12,0,0,7,3.5,0,0,0,2,90,0,0,0,0,1,0,1,0,0,1
11,0,0,7,6.7,0,0,0,3,90,0,0,0,0,1,0,1,0,0,1
11,0,0,7,9.9,0,0,0,5,90,0,0,0,0,1,0,1,0,1,0
11,0,0,7,8,0,0,0,1,90,0,0,0,0,1,0,1,0,0,1
9,0,0,7,16,0,0,0,0,90,0,0,0,0,1,0,1,0,0,1
9,0,0,7,29.5,0,1,1,0,80,0,0,1,1,0,1,1,0,1,0
12,0,0,7,26.5,0,1,1,1,80,0,0,1,1,0,1,1,0,1,0
12,0,0,6,35.6,0,1,1,5,70,0,1,0,1,1,0,1,1,0,0
12,1,0,6,35.7,0,1,1,6,70,0,0,0,1,1,0,1,0,1,0
12,0,0,6,29.8,0,1,1,5,70,0,0,0,1,1,0,1,0,1,0
6,0,0,6,37.4,1,0,1,6,80,0,0,0,0,0,1,1,0,1,0
23,0,0,6,37,1,0,1,8,80,0,1,0,0,0,1,1,1,0,0
23,0,0,6,34.7,1,0,1,9,80,1,0,0,0,0,1,1,1,0,0
16,0,0,6,24.3,0,0,0,3,80,0,0,0,1,1,0,1,0,1,0
16,1,0,6,8.6,0,0,0,4,80,0,0,0,1,1,0,1,0,1,0
16,0,0,6,15.2,0,0,0,2,80,0,0,0,1,1,0,1,0,1,0
12,0,0,4,9.2,1,1,0,2,70,0,1,0,0,0,1,1,1,0,0
19,0,0,4,49.8,1,1,0,9,70,1,0,1,0,0,1,1,1,0,0
19,0,0,4,45.1,1,1,0,8,70,0,0,1,0,0,1,1,1,0,0
